"RV Gomez","caught",3
"MN Samuels","caught",5
"SE Marsh","caught and bowled",3
"Mohammed Shami","caught",6
"SS Tiwary","hit wicket",1
"Abhishek Sharma","bowled",1
"B Chipli","caught",10
"GJ Maxwell","caught and bowled",1
"MR Marsh","run out",1
"RP Singh","caught",5
"S Anirudha","caught",4
"CL White","stumped",1
"TM Head","run out",1
"GC Smith","stumped",2
"DB Ravi Teja","caught",9
"Sachin Baby","run out",2
"S Sriram","caught",1
"DL Vettori","caught and bowled",1
"R Dhawan","bowled",1
"Pankaj Singh","bowled",1
"AA Bilakhia","stumped",1
"TS Mills","bowled",1
"PK Garg","caught",5
"SP Fleming","bowled",2
"CR Brathwaite","lbw",1
"N Rana","run out",4
"BB McCullum","bowled",17
"KL Rahul","stumped",2
"Sachin Baby","lbw",1
"RE van der Merwe","caught",5
"C de Grandhomme","stumped",1
"Sunny Singh","caught",3
"AB McDonald","bowled",1
"MJ Clarke","caught",1
"M Kaif","stumped",2
"KK Nair","caught and bowled",1
"GC Smith","lbw",1
"DR Martyn","bowled",1
"SPD Smith","run out",10
"DB Das","caught and bowled",1
"DL Chahar","caught",5
"E Lewis","stumped",1
"UT Khawaja","caught",3
"KP Pietersen","retired hurt",1
"Shahid Afridi","caught",7
"SR Tendulkar","bowled",12
"KA Pollard","bowled",17
"M Rawat","caught",3
"CJ Anderson","bowled",4
"Joginder Sharma","caught and bowled",1
"VVS Laxman","run out",1
"SV Samson","stumped",3
"DH Yagnik","caught",3
"Gurkeerat Singh","bowled",4
"RD Gaikwad","lbw",1
"T Taibu","run out",1
"R Bhatia","run out",4
"MM Sharma","caught",9
"P Chopra","caught",1
"AC Thomas","bowled",1
"EJG Morgan","run out",6
"BB McCullum","stumped",3
"PA Reddy","caught",6
"R Sharma","bowled",4
"Yuvraj Singh","caught and bowled",2
"JD Ryder","bowled",7
"A Mishra","lbw",1
"Arshdeep Singh","caught",1
"P Dogra","caught",4
"KH Pandya","retired hurt",1
"VVS Laxman","retired hurt",1
"M Morkel","stumped",1
"GJ Bailey","lbw",1
"AP Dole","caught",2
"Ishan Kishan","bowled",6
"P Negi","stumped",2
"DL Vettori","bowled",4
"S Dube","run out",2
"M Kartik","bowled",1
"K Goel","lbw",1
"A Mishra","bowled",9
"S Nadeem","run out",4
"RK Singh","bowled",1
"AB Dinda","bowled",3
"MD Mishra","run out",1
"HH Gibbs","run out",3
"NV Ojha","run out",5
"AJ Finch","bowled",22
"YV Takawale","bowled",2
"KV Sharma","run out",3
"Azhar Mahmood","lbw",3
"PK Garg","run out",1
"Sachin Baby","caught and bowled",1
"AC Gilchrist","caught and bowled",2
"JC Archer","caught",9
"I Sharma","run out",2
"LJ Wright","caught",4
"SN Khan","lbw",1
"NJ Maddinson","bowled",2
"AP Tare","bowled",4
"A Chandila","run out",1
"AA Jhunjhunwala","run out",4
"MEK Hussey","bowled",15
"PP Shaw","run out",1
"J Botha","caught",9
"MS Gony","bowled",4
"ST Jayasuriya","bowled",2
"Abdul Samad","caught",5
"KC Sangakkara","caught and bowled",4
"WD Parnell","bowled",2
"AD Mathews","run out",4
"DL Vettori","caught",1
"AA Bilakhia","caught",2
"KM Jadhav","run out",7
"Yuvraj Singh","hit wicket",1
"ST Jayasuriya","caught and bowled",1
"MJ Clarke","stumped",1
"LRPL Taylor","bowled",6
"KM Jadhav","lbw",5
"A Mishra","obstructing the field",1
"TA Boult","bowled",2
"Gurkeerat Singh","caught and bowled",2
"M Vijay","bowled",19
"Joginder Sharma","run out",1
"RD Gaikwad","stumped",1
"MA Agarwal","run out",2
"R Dravid","bowled",16
"A Uniyal","bowled",1
"Mandeep Singh","lbw",2
"JJ Roy","bowled",2
"AC Thomas","run out",1
"AJ Tye","caught",5
"DB Das","bowled",4
"YK Pathan","stumped",2
"JC Buttler","bowled",7
"R Vinay Kumar","caught",13
"A Symonds","run out",3
"SA Asnodkar","run out",5
"CA Pujara","lbw",1
"AB McDonald","caught",3
"R Dravid","caught and bowled",5
"S Badrinath","lbw",4
"MC Juneja","run out",1
"J Botha","bowled",4
"CA Lynn","caught and bowled",3
"RR Rossouw","caught",1
"JJ Bumrah","run out",2
"JC Buttler","caught",32
"STR Binny","lbw",3
"MG Johnson","run out",1
"CA Ingram","lbw",2
"AM Rahane","run out",8
"AF Milne","run out",1
"RR Powar","run out",1
"MA Agarwal","caught",52
"SN Khan","run out",4
"DJ Harris","caught",3
"Jaskaran Singh","run out",1
"KK Nair","stumped",2
"SC Ganguly","stumped",2
"YK Pathan","caught",76
"M Ashwin","run out",1
"AD Russell","run out",3
"YS Chahal","caught",3
"HM Amla","caught and bowled",1
"MJ Guptill","caught",10
"AC Voges","caught",4
"YK Pathan","lbw",5
"B Chipli","bowled",4
"V Sehwag","stumped",1
"DA Miller","stumped",2
"P Negi","run out",4
"KK Nair","run out",4
"ST Jayasuriya","caught",19
"STR Binny","caught and bowled",1
"Sachin Baby","caught",5
"M Markande","caught",1
"RR Rossouw","bowled",3
"AS Raut","run out",4
"SB Joshi","run out",1
"MN Samuels","bowled",5
"NV Ojha","stumped",3
"T Thushara","caught",1
"LRPL Taylor","run out",3
"VY Mahesh","bowled",1
"Umar Gul","caught",2
"MC Juneja","lbw",1
"PR Shah","caught",6
"H Das","run out",1
"VVS Laxman","caught and bowled",2
"DJ Bravo","run out",1
"CJ Jordan","caught and bowled",1
"Harbhajan Singh","lbw",6
"KW Richardson","caught and bowled",1
"CH Gayle","stumped",3
"RR Pant","run out",5
"PK Garg","bowled",3
"R Dhawan","caught",2
"RP Singh","bowled",4
"CK Langeveldt","bowled",2
"DA Warner","run out",10
"M Rawat","bowled",1
"SW Billings","lbw",1
"Kamran Akmal","caught",3
"Salman Butt","bowled",1
"D Wiese","run out",1
"AD Nath","caught",8
"MJ Guptill","lbw",2
"R Rampaul","caught",4
"R Dravid","stumped",1
"KM Jadhav","bowled",5
"V Sehwag","caught and bowled",2
"CV Varun","run out",1
"Pankaj Singh","caught",1
"DJG Sammy","lbw",2
"SL Malinga","bowled",5
"V Sehwag","caught",70
"BJ Hodge","lbw",6
"A Chopra","lbw",1
"CJ Ferguson","caught",1
"ST Jayasuriya","run out",2
"Mohammed Shami","bowled",1
"Sohail Tanvir","caught",2
"JR Philippe","caught",2
"A Symonds","stumped",2
"M Ntini","bowled",1
"AR Patel","stumped",2
"MP Stoinis","run out",3
"YK Pathan","obstructing the field",1
"CM Gautam","caught",7
"C Munro","bowled",2
"KD Karthik","lbw",14
"SP Goswami","caught",15
"KM Jadhav","stumped",1
"AD Russell","bowled",10
"MK Pandey","run out",5
"R Tewatia","run out",1
"MC Henriques","caught",20
"DNT Zoysa","bowled",1
"MC Juneja","caught",5
"S Rana","bowled",3
"UT Khawaja","stumped",1
"DB Ravi Teja","stumped",1
"MV Boucher","bowled",3
"MS Wade","bowled",2
"DA Miller","caught",34
"RD Gaikwad","bowled",1
"M Kaif","bowled",3
"TA Boult","caught and bowled",1
"M Vijay","caught",52
"SP Fleming","lbw",1
"S Kaul","run out",1
"J Botha","lbw",3
"KK Nair","lbw",7
"R Sharma","caught",6
"G Gambhir","lbw",7
"JH Kallis","run out",9
"SB Bangar","run out",1
"KC Sangakkara","stumped",3
"JP Faulkner","run out",2
"D Salunkhe","caught and bowled",1
"R Sathish","bowled",3
"S Randiv","caught",1
"Kuldeep Yadav","caught",1
"RG Sharma","caught and bowled",7
"R Ashwin","caught",24
"PC Valthaty","caught",18
"MK Pandey","caught",67
"R Sathish","caught",9
"Kuldeep Yadav","bowled",1
"MJ Clarke","run out",1
"N Saini","run out",1
"M Prasidh Krishna","caught",1
"Shivam Mavi","caught",3
"Mohammad Ashraful","caught",1
"DS Kulkarni","caught and bowled",1
"TL Suman","lbw",2
"MK Pandey","bowled",25
"Misbah-ul-Haq","hit wicket",1
"Azhar Mahmood","run out",3
"Y Nagar","caught",8
"B Kumar","caught and bowled",1
"AB Barath","lbw",1
"D Padikkal","caught",9
"DA Miller","run out",2
"CH Gayle","lbw",8
"SK Raina","caught",110
"RR Sarwan","bowled",1
"P Dogra","bowled",2
"Anureet Singh","bowled",1
"RR Raje","bowled",1
"MA Khote","hit wicket",1
"FY Fazal","run out",3
"SS Iyer","caught",48
"SS Iyer","bowled",9
"Anureet Singh","caught",3
"SPD Smith","bowled",15
"RG Sharma","caught",112
"Basil Thampi","bowled",1
"Gurkeerat Singh","caught",12
"RD Chahar","caught",2
"Mandeep Singh","stumped",5
"AD Russell","caught",35
"AP Tare","caught",17
"AD Nath","lbw",1
"A Mukund","bowled",2
"S Dhawan","retired hurt",1
"UA Birla","bowled",1
"MJ Lumb","stumped",2
"DB Ravi Teja","run out",2
"JH Kallis","lbw",3
"LRPL Taylor","stumped",1
"Salman Butt","caught",4
"RR Sarwan","caught",2
"D Wiese","caught",4
"Shubman Gill","bowled",2
"VR Aaron","run out",1
"M Kaif","lbw",1
"JH Kallis","caught",60
"SE Marsh","caught",35
"C Munro","caught",5
"M Ashwin","caught",2
"N Saini","lbw",2
"CJ Anderson","caught",11
"SE Marsh","bowled",16
"BB McCullum","lbw",16
"CH Morris","caught",11
"MA Starc","caught",4
"S Gopal","stumped",1
"DH Yagnik","bowled",4
"Y Gnaneswara Rao","caught and bowled",1
"S Aravind","bowled",1
"Rashid Khan","run out",1
"MM Patel","lbw",1
"GJ Maxwell","run out",4
"Mandeep Singh","run out",7
"JD Ryder","caught and bowled",1
"MS Bisla","stumped",4
"Iqbal Abdulla","caught",1
"JC Archer","caught and bowled",1
"SP Goswami","bowled",2
"SS Iyer","stumped",2
"KP Pietersen","lbw",2
"MS Dhoni","bowled",16
"SR Tendulkar","caught",36
"CA Ingram","run out",1
"JA Morkel","bowled",10
"HH Pandya","hit wicket",1
"BB McCullum","caught",62
"WD Parnell","run out",3
"RR Rossouw","run out",1
"AS Raut","caught",3
"PP Shaw","caught and bowled",3
"K Gowtham","caught",12
"J Arunkumar","run out",1
"UT Khawaja","run out",1
"E Lewis","caught",11
"SM Curran","bowled",2
"S Kaul","caught",1
"CL White","caught and bowled",3
"KV Sharma","caught",15
"AB Dinda","lbw",1
"JA Morkel","caught",25
"V Pratap Singh","caught",1
"M Vijay","lbw",10
"AD Mathews","stumped",1
"Parvez Rasool","caught",1
"TL Suman","caught",22
"AJ Finch","lbw",7
"FY Fazal","lbw",2
"TM Dilshan","lbw",3
"S Dhawan","bowled",31
"SO Hetmyer","bowled",2
"R Bhatia","caught and bowled",2
"RT Ponting","caught and bowled",1
"BB Samantray","lbw",1
"PP Shaw","stumped",1
"AB Dinda","run out",1
"AR Patel","lbw",2
"B Kumar","run out",3
"RJ Peterson","caught",1
"NLTC Perera","caught",17
"SB Wagh","caught",1
"RJ Peterson","run out",2
"CH Gayle","bowled",24
"PC Valthaty","bowled",3
"P Negi","lbw",1
"AS Raut","bowled",2
"MV Boucher","caught",8
"DR Smith","caught and bowled",1
"F Behardien","caught",2
"A Kumble","bowled",1
"RR Pant","lbw",5
"M Markande","bowled",1
"A Choudhary","caught",1
"AP Majumdar","caught",1
"RT Ponting","caught",5
"CA Ingram","caught",7
"Q de Kock","lbw",3
"CH Morris","caught and bowled",1
"MS Dhoni","caught",76
"AP Majumdar","caught and bowled",1
"GJ Maxwell","bowled",13
"AM Rahane","stumped",4
"NL McCullum","caught",1
"SP Fleming","run out",1
"PA Patel","bowled",22
"R Sharma","run out",1
"WP Saha","caught",43
"MD Mishra","stumped",2
"M Vijay","run out",8
"S Dube","bowled",2
"KV Sharma","bowled",2
"JH Kallis","bowled",16
"S Sreesanth","bowled",1
"MF Maharoof","bowled",3
"AT Rayudu","bowled",22
"A Ashish Reddy","run out",2
"DR Smith","run out",2
"MF Maharoof","run out",2
"LS Livingstone","caught",1
"AB de Villiers","run out",6
"AC Gilchrist","caught",53
"Shahid Afridi","lbw",1
"PD Collingwood","caught",2
"B Akhil","run out",2
"IK Pathan","lbw",1
"Niraj Patel","run out",1
"RE Levi","bowled",4
"CV Varun","bowled",1
"BMAJ Mendis","caught",1
"RR Pant","caught",39
"Harpreet Singh","caught",1
"SC Ganguly","run out",3
"AD Hales","caught",3
"M Kaif","caught",9
"Harmeet Singh","lbw",1
"MP Stoinis","caught",20
"KK Nair","bowled",12
"AB McDonald","caught and bowled",1
"MC Henriques","bowled",4
"AM Nayar","lbw",5
"PP Shaw","lbw",1
"GH Vihari","bowled",1
"S Gopal","bowled",1
"Swapnil Singh","bowled",1
"NS Naik","bowled",1
"R Dravid","caught",47
"IK Pathan","caught and bowled",1
"A Mithun","caught",4
"HM Amla","lbw",3
"WA Mota","bowled",1
"PJ Sangwan","run out",1
"DA Warner","lbw",4
"CRD Fernando","run out",1
"KH Pandya","caught and bowled",3
"NV Ojha","lbw",2
"TM Dilshan","bowled",11
"GC Smith","caught and bowled",1
"SV Samson","caught",61
"MS Dhoni","stumped",3
"E Lewis","lbw",1
"A Mishra","run out",9
"DE Bollinger","caught",1
"DW Steyn","caught and bowled",1
"KL Rahul","lbw",5
"SL Malinga","run out",2
"S Gopal","run out",1
"MEK Hussey","caught",29
"MV Boucher","run out",2
"SN Khan","stumped",1
"R McLaren","bowled",2
"SP Goswami","run out",2
"B Lee","run out",3
"DA Warner","caught and bowled",4
"P Kumar","caught",11
"Mohammad Hafeez","caught",6
"YV Takawale","caught",4
"R Ashwin","bowled",5
"R Dhawan","lbw",2
"F du Plessis","run out",6
"EJG Morgan","bowled",7
"Q de Kock","bowled",9
"AT Carey","caught",2
"RA Jadeja","hit wicket",1
"R Dhawan","run out",1
"BR Dunk","caught",2
"PD Collingwood","run out",1
"SK Trivedi","bowled",4
"JJ van der Wath","caught",1
"Harmeet Singh","caught",1
"SW Tait","stumped",1
"NJ Maddinson","caught",1
"PR Shah","bowled",1
"MK Tiwary","caught",30
"CM Gautam","stumped",1
"SK Raina","lbw",6
"DR Smith","lbw",12
"B Lee","bowled",1
"F du Plessis","bowled",12
"NM Coulter-Nile","lbw",1
"Y Nagar","lbw",2
"TD Paine","bowled",1
"DJM Short","bowled",1
"R McLaren","lbw",2
"AS Yadav","run out",2
"AJ Finch","stumped",3
"A Flintoff","caught and bowled",1
"LR Shukla","caught",16
"EJG Morgan","stumped",1
"TK Curran","caught",4
"S Badrinath","bowled",2
"RV Gomez","lbw",1
"MR Marsh","caught",8
"Harpreet Singh","caught and bowled",1
"KA Pollard","stumped",1
"SS Iyer","run out",7
"AB Agarkar","caught and bowled",1
"SP Jackson","caught",1
"AJ Tye","bowled",2
"B Laughlin","bowled",1
"Azhar Mahmood","bowled",2
"Mujeeb Ur Rahman","caught",2
"JEC Franklin","caught",10
"UT Yadav","run out",2
"S Narwal","run out",1
"LA Carseldine","stumped",1
"Karanveer Singh","bowled",1
"BA Stokes","caught and bowled",3
"Shubman Gill","run out",3
"SR Tendulkar","run out",8
"SA Abbott","caught",1
"AD Mathews","caught",20
"AR Patel","caught and bowled",1
"MS Gony","caught",4
"PP Chawla","stumped",2
"R Parag","hit wicket",1
"Salman Butt","lbw",2
"KK Ahmed","run out",1
"CL White","bowled",4
"DA Warner","bowled",25
"DJ Hussey","bowled",9
"WPUJC Vaas","bowled",2
"PC Valthaty","run out",1
"DJ Hooda","bowled",6
"Mandeep Singh","caught",48
"R Shukla","run out",1
"KK Cooper","stumped",1
"S Dhawan","lbw",10
"HH Pandya","caught and bowled",1
"RE van der Merwe","run out",2
"YK Pathan","bowled",11
"JJ Roy","caught",3
"DS Kulkarni","run out",4
"JC Buttler","run out",2
"RJ Quiney","lbw",2
"M Klinger","caught",2
"BJ Haddin","caught",1
"BJ Hodge","stumped",2
"SB Jakati","run out",1
"JR Hopes","caught",13
"Ishan Kishan","caught",29
"SC Ganguly","lbw",2
"DJM Short","run out",2
"SE Marsh","stumped",2
"RE Levi","stumped",1
"S Sreesanth","lbw",1
"S Rana","run out",1
"CR Brathwaite","run out",2
"AL Menaria","caught",15
"SR Watson","caught",70
"AB de Villiers","lbw",6
"CH Morris","run out",4
"S Vidyut","caught",8
"R Bishnoi","caught",2
"A Mishra","caught and bowled",1
"JJ van der Wath","lbw",1
"TM Head","bowled",1
"PP Shaw","bowled",7
"MJ Clarke","lbw",2
"DJ Jacobs","caught",1
"KP Pietersen","run out",3
"A Singh","caught and bowled",1
"JJ Roy","stumped",1
"NM Coulter-Nile","caught",5
"S Anirudha","bowled",1
"P Dogra","run out",5
"GD McGrath","caught",1
"PA Reddy","bowled",2
